scenario,algorithm,makespan_mean,avg_transfer_time_mean,amr_utilization_mean,throughput_mean,deadlock_count_mean,path_optimality_mean,makespan_std,avg_transfer_time_std,amr_utilization_std,throughput_std,deadlock_count_std,path_optimality_std
S1_Small,A*,290.393,28.454,79.435,0.081,0.0,100.0,10.088,2.774,12.383,0.013,0.0,0.0
S1_Small,PPO-RL,290.393,28.454,79.435,0.081,0.0,100.0,10.088,2.774,12.383,0.013,0.0,0.0
S1_Small,CACTUS,290.393,28.454,79.435,0.081,0.0,100.0,10.088,2.774,12.383,0.013,0.0,0.0
S1_Small,CBS-TS,290.393,28.454,79.435,0.081,0.0,100.0,10.088,2.774,12.383,0.013,0.0,0.0
S2_Medium,A*,294.67,27.923,86.458,0.152,0.0,100.0,4.454,1.899,7.005,0.014,0.0,0.0
S2_Medium,PPO-RL,294.67,27.923,86.458,0.152,0.0,100.0,4.454,1.899,7.005,0.014,0.0,0.0
S2_Medium,CACTUS,294.67,27.923,86.458,0.152,0.0,100.0,4.454,1.899,7.005,0.014,0.0,0.0
S2_Medium,CBS-TS,294.67,27.923,86.458,0.152,0.0,100.0,4.454,1.899,7.005,0.014,0.0,0.0
S3_Large,A*,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
S3_Large,PPO-RL,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
S3_Large,CACTUS,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
S3_Large,CBS-TS,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
