scenario,algorithm,makespan_mean,avg_transfer_time_mean,amr_utilization_mean,throughput_mean,deadlock_count_mean,path_optimality_mean,makespan_std,avg_transfer_time_std,amr_utilization_std,throughput_std,deadlock_count_std,path_optimality_std
S1_Small,A*,290.393,28.454,79.435,0.081,0.0,100.0,10.088,2.774,12.383,0.013,0.0,0.0
S1_Small,PPO-RL,287.379,30.995,82.305,0.077,0.0,94.406,11.29,3.677,11.119,0.012,0.0,3.51
S1_Small,CACTUS,290.746,28.736,79.793,0.081,0.0,98.963,10.128,2.772,12.197,0.012,0.0,1.322
S1_Small,CBS-TS,290.393,28.454,79.435,0.081,0.0,100.0,10.088,2.774,12.383,0.013,0.0,0.0
S2_Medium,A*,294.67,27.923,86.458,0.152,0.0,100.0,4.454,1.899,7.005,0.014,0.0,0.0
S2_Medium,PPO-RL,295.392,30.26,87.75,0.143,0.0,94.245,4.633,2.236,6.05,0.011,0.0,2.194
S2_Medium,CACTUS,294.486,28.307,86.937,0.151,0.0,98.882,4.812,1.97,6.811,0.014,0.0,0.926
S2_Medium,CBS-TS,294.67,27.923,86.458,0.152,0.0,100.0,4.454,1.899,7.005,0.014,0.0,0.0
S3_Large,A*,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
S3_Large,PPO-RL,296.061,29.514,88.761,0.238,0.0,94.071,3.36,2.048,3.455,0.016,0.0,1.613
S3_Large,CACTUS,296.707,27.754,88.324,0.253,0.0,98.73,2.418,1.756,4.736,0.018,0.0,0.676
S3_Large,CBS-TS,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
